Entity,Code,Year,9th,8th,7th,6th,4th,3rd,2nd,5th,1st
Italy,ITA,1991,115.5156814,118.6469929,120.8150547,122.1755887,125.3870893,122.2706739,119.4352067,123.2079532,123.4703929
Italy,ITA,1993,117.7389455,115.8733394,116.2366158,114.4595472,110.9054881,107.9318311,102.81754,113.0614008,101.2575801
Italy,ITA,1995,111.9506162,111.2710376,113.713042,111.0675148,109.0056823,105.8923877,102.3715538,110.5105047,96.1721162
Italy,ITA,1998,117.8473647,117.8397623,117.4092185,116.2688528,114.5494027,111.3969366,108.3057253,115.5896712,98.62887266
Italy,ITA,2000,118.69448,118.296292,120.0748149,117.5430304,117.6573478,113.2413342,110.9699437,117.3694082,104.6213461
Italy,ITA,2004,124.3141345,121.1078764,122.5480285,120.801188,119.760676,117.771721,115.2147461,121.2914884,113.0763989
Italy,ITA,2008,127.1415763,124.798755,126.3099847,125.5074546,125.2953344,121.5044758,119.7165238,125.7199937,119.5969262
Italy,ITA,2010,123.1800295,121.470141,121.9559733,121.8314967,121.3097044,119.7088589,117.4165897,121.8066983,113.1535948
Luxembourg,LUX,1985,100,100,100,100,100,100,100,100,100
Luxembourg,LUX,1991,149.9951873,150.9256563,153.3669622,158.4631742,154.7311186,154.4797771,150.943141,156.0008423,148.7058615
Luxembourg,LUX,1994,165.4249065,159.7569491,164.2942261,168.3708887,162.9659538,165.316787,166.4856373,166.8657129,167.1834677
Luxembourg,LUX,1997,173.0121472,168.8579853,167.6818687,169.3071053,165.1629973,164.7881224,160.92238,165.9472152,156.4855769
Luxembourg,LUX,2000,189.6124847,182.2647243,182.3994633,183.4418449,173.7110504,175.1757912,173.5431258,177.1208112,171.2891278
Luxembourg,LUX,2004,214.5557145,204.2028494,205.5285497,206.047595,198.6519465,199.9991626,199.4706491,202.8500762,180.6573225
Luxembourg,LUX,2007,210.8042916,202.5375349,204.296385,208.5935422,196.5670234,200.111477,193.422748,202.335121,186.7057993
Luxembourg,LUX,2010,212.3269015,203.8165337,208.2918627,208.5462204,194.590663,193.7287753,192.1988362,199.8595373,187.8058007
Netherlands,NLD,1993,100,100,100,100,100,100,100,100,100
Netherlands,NLD,1999,109.4581012,110.3256556,112.2181447,113.6130156,117.8485618,117.4985265,120.9790089,116.4378992,124.9048075
Netherlands,NLD,2004,115.4471366,113.1119466,113.0091693,114.1044138,116.3221097,116.5978163,119.0898658,115.4744871,121.8670585
Netherlands,NLD,2007,130.8028854,125.1690732,124.5967542,125.3068172,127.6468815,127.8715717,131.4137353,127.0356613,133.8994613
Netherlands,NLD,2010,127.1216924,123.9154194,123.8644456,124.4541779,127.0146681,127.6329963,129.3689043,125.3086136,133.3854991
Norway,NOR,1979,100,100,100,100,100,100,100,100,100
Norway,NOR,1986,136.004512,135.5832146,135.108197,133.0427713,132.3394944,131.3204567,130.2033516,132.6512842,128.5668882
Norway,NOR,1991,136.8169202,138.0192014,137.4815791,137.534723,137.0834574,136.8264741,137.0713644,137.3208987,136.2093122
Norway,NOR,1995,136.0657097,136.9432097,136.1277148,136.1462506,136.0977497,133.2565513,131.8404635,136.3743632,132.5038183
Norway,NOR,2000,160.6523956,159.8282884,159.9469441,159.8796698,159.6821523,158.3440079,157.3364706,159.9395236,159.0972989
